model,horizon,nmae_mean,nmae_std
linearized_model,10,nan,nan
linearized_model,50,nan,nan
linearized_model,100,nan,nan
linearized_model,500,nan,nan
linearized_model,1000,nan,nan
sindy_4d,10,nan,nan
sindy_4d,50,nan,nan
sindy_4d,100,nan,nan
sindy_4d,500,nan,nan
sindy_4d,1000,nan,nan
gp_standard,10,nan,nan
gp_standard,50,nan,nan
gp_standard,100,nan,nan
gp_standard,500,nan,nan
gp_standard,1000,nan,nan
gp_b4_sparse,10,nan,nan
gp_b4_sparse,50,nan,nan
gp_b4_sparse,100,nan,nan
gp_b4_sparse,500,nan,nan
gp_b4_sparse,1000,nan,nan
gp_ensemble_5_0,10,nan,nan
gp_ensemble_5_0,50,nan,nan
gp_ensemble_5_0,100,nan,nan
gp_ensemble_5_0,500,nan,nan
gp_ensemble_5_0,1000,nan,nan
gp_ensemble_5_3,10,nan,nan
gp_ensemble_5_3,50,nan,nan
gp_ensemble_5_3,100,nan,nan
gp_ensemble_5_3,500,nan,nan
gp_ensemble_5_3,1000,nan,nan
gp_ensemble_7_5,10,nan,nan
gp_ensemble_7_5,50,nan,nan
gp_ensemble_7_5,100,nan,nan
gp_ensemble_7_5,500,nan,nan
gp_ensemble_7_5,1000,nan,nan
