model,horizon,state,state_mae_mean,state_mae_std
real_dynamics,10,phi,nan,nan
real_dynamics,10,delta,nan,nan
real_dynamics,10,phi_dot,nan,nan
real_dynamics,10,delta_dot,nan,nan
real_dynamics,50,phi,nan,nan
real_dynamics,50,delta,nan,nan
real_dynamics,50,phi_dot,nan,nan
real_dynamics,50,delta_dot,nan,nan
real_dynamics,100,phi,nan,nan
real_dynamics,100,delta,nan,nan
real_dynamics,100,phi_dot,nan,nan
real_dynamics,100,delta_dot,nan,nan
real_dynamics,500,phi,nan,nan
real_dynamics,500,delta,nan,nan
real_dynamics,500,phi_dot,nan,nan
real_dynamics,500,delta_dot,nan,nan
real_dynamics,1000,phi,nan,nan
real_dynamics,1000,delta,nan,nan
real_dynamics,1000,phi_dot,nan,nan
real_dynamics,1000,delta_dot,nan,nan
linearized_model,10,phi,nan,nan
linearized_model,10,delta,nan,nan
linearized_model,10,phi_dot,nan,nan
linearized_model,10,delta_dot,nan,nan
linearized_model,50,phi,nan,nan
linearized_model,50,delta,nan,nan
linearized_model,50,phi_dot,nan,nan
linearized_model,50,delta_dot,nan,nan
linearized_model,100,phi,nan,nan
linearized_model,100,delta,nan,nan
linearized_model,100,phi_dot,nan,nan
linearized_model,100,delta_dot,nan,nan
linearized_model,500,phi,nan,nan
linearized_model,500,delta,nan,nan
linearized_model,500,phi_dot,nan,nan
linearized_model,500,delta_dot,nan,nan
linearized_model,1000,phi,nan,nan
linearized_model,1000,delta,nan,nan
linearized_model,1000,phi_dot,nan,nan
linearized_model,1000,delta_dot,nan,nan
sindy_4d,10,phi,nan,nan
sindy_4d,10,delta,nan,nan
sindy_4d,10,phi_dot,nan,nan
sindy_4d,10,delta_dot,nan,nan
sindy_4d,50,phi,nan,nan
sindy_4d,50,delta,nan,nan
sindy_4d,50,phi_dot,nan,nan
sindy_4d,50,delta_dot,nan,nan
sindy_4d,100,phi,nan,nan
sindy_4d,100,delta,nan,nan
sindy_4d,100,phi_dot,nan,nan
sindy_4d,100,delta_dot,nan,nan
sindy_4d,500,phi,nan,nan
sindy_4d,500,delta,nan,nan
sindy_4d,500,phi_dot,nan,nan
sindy_4d,500,delta_dot,nan,nan
sindy_4d,1000,phi,nan,nan
sindy_4d,1000,delta,nan,nan
sindy_4d,1000,phi_dot,nan,nan
sindy_4d,1000,delta_dot,nan,nan
gp_standard,10,phi,nan,nan
gp_standard,10,delta,nan,nan
gp_standard,10,phi_dot,nan,nan
gp_standard,10,delta_dot,nan,nan
gp_standard,50,phi,nan,nan
gp_standard,50,delta,nan,nan
gp_standard,50,phi_dot,nan,nan
gp_standard,50,delta_dot,nan,nan
gp_standard,100,phi,nan,nan
gp_standard,100,delta,nan,nan
gp_standard,100,phi_dot,nan,nan
gp_standard,100,delta_dot,nan,nan
gp_standard,500,phi,nan,nan
gp_standard,500,delta,nan,nan
gp_standard,500,phi_dot,nan,nan
gp_standard,500,delta_dot,nan,nan
gp_standard,1000,phi,nan,nan
gp_standard,1000,delta,nan,nan
gp_standard,1000,phi_dot,nan,nan
gp_standard,1000,delta_dot,nan,nan
gp_b4_sparse,10,phi,nan,nan
gp_b4_sparse,10,delta,nan,nan
gp_b4_sparse,10,phi_dot,nan,nan
gp_b4_sparse,10,delta_dot,nan,nan
gp_b4_sparse,50,phi,nan,nan
gp_b4_sparse,50,delta,nan,nan
gp_b4_sparse,50,phi_dot,nan,nan
gp_b4_sparse,50,delta_dot,nan,nan
gp_b4_sparse,100,phi,nan,nan
gp_b4_sparse,100,delta,nan,nan
gp_b4_sparse,100,phi_dot,nan,nan
gp_b4_sparse,100,delta_dot,nan,nan
gp_b4_sparse,500,phi,nan,nan
gp_b4_sparse,500,delta,nan,nan
gp_b4_sparse,500,phi_dot,nan,nan
gp_b4_sparse,500,delta_dot,nan,nan
gp_b4_sparse,1000,phi,nan,nan
gp_b4_sparse,1000,delta,nan,nan
gp_b4_sparse,1000,phi_dot,nan,nan
gp_b4_sparse,1000,delta_dot,nan,nan
gp_ensemble_5_0,10,phi,nan,nan
gp_ensemble_5_0,10,delta,nan,nan
gp_ensemble_5_0,10,phi_dot,nan,nan
gp_ensemble_5_0,10,delta_dot,nan,nan
gp_ensemble_5_0,50,phi,nan,nan
gp_ensemble_5_0,50,delta,nan,nan
gp_ensemble_5_0,50,phi_dot,nan,nan
gp_ensemble_5_0,50,delta_dot,nan,nan
gp_ensemble_5_0,100,phi,nan,nan
gp_ensemble_5_0,100,delta,nan,nan
gp_ensemble_5_0,100,phi_dot,nan,nan
gp_ensemble_5_0,100,delta_dot,nan,nan
gp_ensemble_5_0,500,phi,nan,nan
gp_ensemble_5_0,500,delta,nan,nan
gp_ensemble_5_0,500,phi_dot,nan,nan
gp_ensemble_5_0,500,delta_dot,nan,nan
gp_ensemble_5_0,1000,phi,nan,nan
gp_ensemble_5_0,1000,delta,nan,nan
gp_ensemble_5_0,1000,phi_dot,nan,nan
gp_ensemble_5_0,1000,delta_dot,nan,nan
gp_ensemble_5_3,10,phi,nan,nan
gp_ensemble_5_3,10,delta,nan,nan
gp_ensemble_5_3,10,phi_dot,nan,nan
gp_ensemble_5_3,10,delta_dot,nan,nan
gp_ensemble_5_3,50,phi,nan,nan
gp_ensemble_5_3,50,delta,nan,nan
gp_ensemble_5_3,50,phi_dot,nan,nan
gp_ensemble_5_3,50,delta_dot,nan,nan
gp_ensemble_5_3,100,phi,nan,nan
gp_ensemble_5_3,100,delta,nan,nan
gp_ensemble_5_3,100,phi_dot,nan,nan
gp_ensemble_5_3,100,delta_dot,nan,nan
gp_ensemble_5_3,500,phi,nan,nan
gp_ensemble_5_3,500,delta,nan,nan
gp_ensemble_5_3,500,phi_dot,nan,nan
gp_ensemble_5_3,500,delta_dot,nan,nan
