model,horizon,nmae,nrmse,nmae_phi,nmae_delta,nmae_phi_dot,nmae_delta_dot,requested_horizon,note
linearized_model,10,0.272737,0.198108,0.014338,0.824628,0.139219,0.112763,10,survived
linearized_model,50,0.328691,0.246140,0.123803,0.845347,0.169876,0.175738,50,survived
linearized_model,100,1.463022,1.233582,0.814451,3.598503,0.290628,1.148507,100,survived
linearized_model,500,19.868514,22.840820,10.843104,49.985353,3.210474,15.435124,500,diverged
linearized_model,1000,19.868514,22.840820,10.843104,49.985353,3.210474,15.435124,1000,diverged
sindy_4d,10,0.040177,0.040112,0.021979,0.071677,0.032620,0.034432,10,survived
sindy_4d,50,0.120304,0.111900,0.098615,0.196105,0.062546,0.123952,50,survived
sindy_4d,100,0.812057,1.088114,0.654238,1.216573,0.445820,0.931595,100,survived
sindy_4d,500,15.958044,24.209540,12.651277,26.566941,7.469906,17.144052,500,diverged
sindy_4d,1000,15.958044,24.209540,12.651277,26.566941,7.469906,17.144052,1000,diverged
gp_standard,10,0.000072,0.000083,0.000026,0.000077,0.000035,0.000151,10,survived
gp_standard,50,0.000726,0.000647,0.000681,0.001095,0.000268,0.000862,50,survived
gp_standard,100,0.005207,0.005811,0.004301,0.008577,0.001978,0.005972,100,survived
gp_standard,500,21.950457,35.629544,11.588425,11.784011,10.415500,54.013893,500,survived
gp_standard,1000,31.566456,43.082703,16.353245,18.073366,15.011876,76.827339,1000,survived
gp_b4_sparse,10,0.321071,0.667874,0.006536,0.059695,0.012094,1.205958,10,survived
gp_b4_sparse,50,1.392285,2.550330,0.028529,0.335217,0.062010,5.143384,50,survived
gp_b4_sparse,100,2.731086,5.000818,0.125329,0.681315,0.154600,9.963102,100,survived
gp_b4_sparse,500,15.301678,34.390169,1.872788,2.647075,1.261052,55.425796,500,diverged
gp_b4_sparse,1000,15.301678,34.390169,1.872788,2.647075,1.261052,55.425796,1000,diverged
gp_ensemble_5_0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,diverged
gp_ensemble_5_0,50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50,diverged
gp_ensemble_5_0,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100,diverged
gp_ensemble_5_0,500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500,diverged
gp_ensemble_5_0,1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,diverged
gp_ensemble_5_3,10,0.209819,0.169906,0.189522,0.328117,0.050856,0.270781,10,survived
gp_ensemble_5_3,50,0.539416,0.574338,0.370666,0.768935,0.356780,0.661281,50,survived
gp_ensemble_5_3,100,0.581288,0.593413,0.452335,0.668147,0.350093,0.854575,100,survived
gp_ensemble_5_3,500,0.622461,0.601415,0.506680,0.654769,0.360073,0.968321,500,survived
gp_ensemble_5_3,1000,0.630903,0.603593,0.517445,0.655756,0.361727,0.988684,1000,survived
gp_ensemble_7_5,10,0.238352,0.185931,0.186817,0.430941,0.074075,0.261577,10,survived
gp_ensemble_7_5,50,0.443368,0.407289,0.337395,0.638893,0.262859,0.534324,50,survived
gp_ensemble_7_5,100,0.472987,0.450742,0.372496,0.648799,0.289663,0.580990,100,survived
gp_ensemble_7_5,500,0.519960,0.503862,0.402735,0.688211,0.349095,0.639798,500,survived
gp_ensemble_7_5,1000,0.530614,0.508737,0.413401,0.698072,0.355861,0.655121,1000,survived
