model,horizon,state,unit,mae_mean,mae_std,n_seeds,first_exceed_1sigma,first_exceed_2sigma,first_exceed_3sigma,endpoint_error_mean,requested_horizon,actual_survival_steps
linearized_model,10,phi,rad,0.004128,0.002792,5,NaN,NaN,NaN,0.008912,10,10
linearized_model,10,delta,rad,0.142927,0.105301,5,3.3,4.0,NaN,0.176736,10,10
linearized_model,10,phi_dot,rad/s,0.160616,0.117612,5,NaN,NaN,NaN,0.207358,10,10
linearized_model,10,delta_dot,rad/s,0.065137,0.040449,5,NaN,NaN,NaN,0.022698,10,10
linearized_model,50,phi,rad,0.035645,0.027208,5,NaN,NaN,NaN,0.091976,50,50
linearized_model,50,delta,rad,0.146518,0.039965,5,17.0,26.5,NaN,0.284030,50,50
linearized_model,50,phi_dot,rad/s,0.195985,0.087306,5,NaN,NaN,NaN,0.267968,50,50
linearized_model,50,delta_dot,rad/s,0.101515,0.060001,5,NaN,NaN,NaN,0.216182,50,50
linearized_model,100,phi,rad,0.234495,0.161394,5,75.4,86.8,88.5,1.184240,100,100
linearized_model,100,delta,rad,0.623702,0.325497,5,17.0,46.6,66.0,2.206527,100,100
linearized_model,100,phi_dot,rad/s,0.335297,0.189086,5,92.5,95.0,100.0,1.295246,100,100
linearized_model,100,delta_dot,rad/s,0.663434,0.454259,5,69.8,82.0,86.5,3.041942,100,100
linearized_model,500,phi,rad,3.121928,0.687944,5,75.4,91.2,100.0,NaN,500,500
linearized_model,500,delta,rad,8.663597,0.457271,5,17.0,46.6,66.0,NaN,500,500
linearized_model,500,phi_dot,rad/s,3.703909,1.274405,5,103.6,114.0,118.8,NaN,500,500
linearized_model,500,delta_dot,rad/s,8.916081,1.660048,5,69.8,86.8,90.6,NaN,500,500
linearized_model,1000,phi,rad,3.121928,0.687944,5,75.4,91.2,100.0,NaN,1000,1000
linearized_model,1000,delta,rad,8.663597,0.457271,5,17.0,46.6,66.0,NaN,1000,1000
linearized_model,1000,phi_dot,rad/s,3.703909,1.274405,5,103.6,114.0,118.8,NaN,1000,1000
linearized_model,1000,delta_dot,rad/s,8.916081,1.660048,5,69.8,86.8,90.6,NaN,1000,1000
sindy_4d,10,phi,rad,0.006328,0.003475,5,NaN,NaN,NaN,0.013404,10,10
sindy_4d,10,delta,rad,0.012423,0.006532,5,NaN,NaN,NaN,0.015729,10,10
