step,theta,theta_dot,target_theta,tracking_err,u_lqr,epsilon,action,reward
0,-0.04268829200843349,0.006741684018058878,0.0,0.04268829200843349,-4.440108965366855,-0.5,-30.685117721557617,0.014325182836116584
1,-0.04228521493691093,0.021844107247026314,0.0,0.04228521493691093,-1.4036226315090863,-0.5,-30.648544311523438,0.01474044183534938
2,-0.041330284617537176,0.039332565406585834,0.0,0.041330284617537176,0.3115817395514181,-0.5,-30.26280975341797,0.016327732813970125
3,-0.03979674260762861,0.05579067443634732,0.0,0.03979674260762861,1.221588762527086,-0.5,-29.82649803161621,0.01915052307283399
4,-0.03774716873321423,0.06944475540849877,0.0,0.03774716873321423,1.641841868351012,-0.5,-29.42035675048828,0.023082998637560997
5,-0.03528764870808116,0.0795644268659153,0.0,0.03528764870808116,1.7687114357404794,-0.5,-29.10025405883789,0.027906001265674982
6,-0.03253890706325319,0.08606313101351135,0.0,0.03253890706325319,1.7261895728850671,-0.5,-28.886550903320312,0.033367770967646024
7,-0.029618803839277657,0.08922961015340886,0.0,0.029618803839277657,1.5931047861854546,-0.5,-28.77593994140625,0.03922101503774978
8,-0.02663247604382079,0.08954791426638359,0.0,0.02663247604382079,1.4193728719671572,-0.5,-28.758045196533203,0.045243979994496114
9,-0.02366758169552353,0.0875787215978108,0.0,0.02366758169552353,1.2359971571570387,-0.5,-28.8194580078125,0.05125079487735966
10,-0.020792873073053362,0.08388371615743298,0.0,0.020792873073053362,1.0614327175540934,-0.5,-28.94183349609375,0.0570947766684918
11,-0.018058850296677715,0.07898027930211157,0.0,0.018058850296677715,0.9057740358715839,-0.5,-29.107757568359375,0.06266730821791464
12,-0.015499617544522046,0.07331732775317852,0.0,0.015499617544522046,0.7735908517364921,-0.5,-29.301193237304688,0.06789413127545266
13,-0.01313533368201139,0.06726558204603297,0.0,0.01313533368201139,0.6658883121751885,-0.5,-29.507631301879883,0.07273033739618623
14,-0.010974847315187067,0.06111731671795437,0.0,0.010974847315187067,0.5814754139297924,-0.5,-29.72776222229004,0.07715492590055248
15,-0.009018252277721198,0.05509196562954981,0.0,0.009018252277721198,0.5179188356976692,-0.5,-29.94477081298828,0.08116549220054599
16,-0.007259206058838072,0.04934496652347869,0.0,0.007259206058838072,0.47219855727928617,-0.5,-30.153703689575195,0.08477338577503304
17,-0.005686929828521559,0.04397800737949879,0.0,0.005686929828521559,0.4411459407705891,-0.5,-30.35049057006836,0.08799951620429847
18,-0.004287861491087182,0.03904943421588634,0.0,0.004287861491087182,0.42172278177597833,-0.5,-30.542701721191406,0.09087087364446571
19,-0.003046968114432955,0.03458403186292773,0.0,0.003046968114432955,0.41118513894083136,-0.5,-30.71868324279785,0.09341775555464193
20,-0.0019487455800462192,0.030581723957830948,0.0,0.0019487455800462192,0.40716531108425896,-0.5,-30.877384185791016,0.09567164517640275
21,-0.0009779449589338717,0.02702497909994258,0.0,0.0009779449589338717,0.4076974784893052,-0.5,-31.01923370361328,0.09766366174824748
22,-0.0001200698032444734,0.023884876346795557,0.0,0.0001200698032444734,0.41120638391647096,-0.5,-31.145153045654297,0.09942349173186069
23,0.0006383114971222662,0.021125891702700295,0.0,0.0006383114971222662,0.4164735320753114,-0.5,-31.256343841552734,0.09714884072674267
24,0.0013093971787223205,0.01870953202407803,0.0,0.0013093971787223205,0.42259146664628033,-0.5,-31.354167938232422,0.09577464335975142
25,0.0019040910109345646,0.016596975511073822,0.0,0.0019040910109345646,0.4289135698797078,-0.5,-31.440032958984375,0.09476727537036495
26,0.0024320177666629994,0.014750888145107532,0.0,0.0024320177666629994,0.43500439378306477,-0.5,-31.51532554626465,0.0938704933036902
27,0.0029015899992096946,0.013136580563176679,0.0,0.0029015899992096946,0.4405936672591248,-0.5,-31.581348419189453,0.09307041874087509
28,0.0033201061852813165,0.011722655698858138,0.0,0.0033201061852813165,0.4455357351663522,-0.5,-31.639305114746094,0.09235513865842285
29,0.003693865062191417,0.010481278361582606,0.0,0.003693865062191417,0.4497751868012039,-0.5,-31.69198989868164,0.09171444708062794
30,0.004028285083093048,0.009388176845556968,0.0,0.004028285083093048,0.45331874499298996,-0.5,-31.739320755004883,0.09113960097063444
31,0.004328021304020519,0.008422465753108736,0.0,0.004328021304020519,0.4562130442089653,-0.5,-31.781164169311523,0.09062309788337605
32,0.004597074726197098,0.007566359814725885,0.0,0.004597074726197098,0.4585276676734009,-0.5,-31.818256378173828,0.09015847913469294
33,0.004838891208182303,0.00680483134262726,0.0,0.004838891208182303,0.46034268994151967,-0.5,-31.85124397277832,0.08974015953451883
34,0.005056448615770731,0.006125249399459035,0.0,0.005056448615770731,0.4617399422121759,-0.5,-31.880661010742188,0.08936328289089716
35,0.0052523319807743695,0.0055170268405922,0.0,0.0052523319807743695,0.4627972508828508,-0.5,-31.906970977783203,0.08902360133141801
36,0.005428797179181211,0.004971291949823617,0.0,0.005428797179181211,0.4635849708456964,-0.5,-31.9305477142334,0.08871737584573956
37,0.005587824094323951,0.004480594174483414,0.0,0.005587824094323951,0.4641642255446264,-0.5,-31.95172691345215,0.0884412951874852
38,0.005731160471719991,0.004038648162783563,0.0,0.005731160471719991,0.4645863628732233,-0.5,-31.970783233642578,0.0881924102710248
39,0.005860357758493671,0.003640116585153746,0.0,0.005860357758493671,0.4648932308288489,-0.5,-31.987945556640625,0.0879680813669813
40,0.0059768002002448094,0.0032804297662943076,0.0,0.0059768002002448094,0.4651179639734346,-0.5,-32.003421783447266,0.08776593566944453
41,0.0060817283801760345,0.002955638678691098,0.0,0.0060817283801760345,0.46528604817902725,-0.5,-32.01738739013672,0.08758383312578216
42,0.006176258258438827,0.0026622971019427777,0.0,0.006176258258438827,0.4654164956327249,-0.5,-32.02998733520508,0.08741983874976242
43,0.006261396625428904,0.0023973685266701944,0.0,0.006261396625428904,0.4655230146434956,-0.5,-32.04136276245117,0.08727219995581861
44,0.006338053736156011,0.002158153508176852,0.0,0.006338053736156011,0.4656151002219871,-0.5,-32.05162811279297,0.08713932774155203
45,0.006407053753704675,0.001942233521420003,0.0,0.006407053753704675,0.4656990029367976,-0.5,-32.060890197753906,0.08701978079897099
46,0.006469143504108924,0.0017474278356608415,0.0,0.006469143504108924,0.4657785566391343,-0.5,-32.069244384765625,0.08691225184959486
47,0.006524999935664122,0.0015717604422463302,0.0,0.006524999935664122,0.46585586178326865,-0.5,-32.07677459716797,0.08681555567500425
48,0.006575236583679014,0.0014134345826028736,0.0,0.006575236583679014,0.4659318316701175,-0.5,-32.08356475830078,0.08672861845549694
49,0.0066204092664082954,0.0012708129036674203,0.0,0.0066204092664082954,0.46600661528207576,-0.5,-32.08967971801758,0.08665046813927076
50,0.006661021178001775,0.0011424016961291159,0.0,0.006661021178001775,0.4660799135607072,-0.5,-32.095184326171875,0.08658022564759651
51,0.006697527497886493,0.0010268380384095492,0.0,0.006697527497886493,0.4661512069216396,-0.5,-32.10014343261719,0.08651709678242182
52,0.0067303396010032525,0.0009228789746342314,0.0,0.0067303396010032525,0.46621991124027484,-0.5,-32.1046028137207,0.08646036474614503
53,0.006759828927702002,0.0008293921008961866,0.0,0.006759828927702002,0.4662854780508813,-0.5,-32.108612060546875,0.08640938321285244
54,0.006786330553954703,0.0007453471266054503,0.0,0.006786330553954703,0.466347452710224,-0.5,-32.11221694946289,0.08636356990950762
55,0.006810146490176226,0.0006698081237872961,0.0,0.006810146490176226,0.46640550209459314,-0.5,-32.115455627441406,0.08632240067723666
56,0.006831548728905885,0.000601926284412962,0.0,0.006831548728905885,0.4664594212375087,-0.5,-32.118370056152344,0.08628540398923792
57,0.006850782056698645,0.0005409330815884603,0.0,0.006850782056698645,0.4665091263092412,-0.5,-32.12098693847656,0.08625215590473054
58,0.006868066642848255,0.0004861337814461373,0.0,0.006868066642848255,0.4665546395649955,-0.5,-32.12334060668945,0.08622227543908158
59,0.006883600416271869,0.00043690128480271674,0.0,0.006883600416271869,0.466596070380035,-0.5,-32.12545394897461,0.08619542032979252
60,0.0068975612414695926,0.0003926702960679288,0.0,0.0068975612414695926,0.4666335952514562,-0.5,-32.12735366821289,0.0861712831770597
61,0.0069101089045299005,0.00035293182559325106,0.0,0.0069101089045299005,0.46666743866274274,-0.5,-32.129058837890625,0.08614958793660024
62,0.006921386920404493,0.00031722803386950623,0.0,0.006921386920404493,0.4666978559521798,-0.5,-32.130592346191406,0.08613008674162295
63,0.006931524172942669,0.000285147424184881,0.0,0.006931524172942669,0.4667251187676624,-0.5,-32.13196563720703,0.08611255703036724
64,0.006940636399347888,0.0002563203863638556,0.0,0.006940636399347888,0.46674950329481474,-0.5,-32.13320541381836,0.08609679895558081
65,0.006948827530743266,0.00023041508931164264,0.0,0.006948827530743266,0.4667712811804029,-0.5,-32.13431930541992,0.08608263305265251
66,0.0069561909003909225,0.0002071337151520139,0.0,0.0069561909003909225,0.46679071290937035,-0.5,-32.135318756103516,0.0860698981438129
67,0.006962810330808885,0.0001862090233049372,0.0,0.006962810330808885,0.4668080433059543,-0.5,-32.13621520996094,0.08605844945679902
68,0.006968761110589785,0.00016740122919647413,0.0,0.006968761110589785,0.466823498795823,-0.5,-32.13702392578125,0.08604815693757971
69,0.006974110871176142,0.00015049517954500842,0.0,0.006974110871176142,0.46683728606969943,-0.5,-32.13774871826172,0.08603890373808412
70,0.006978920373218067,0.00013529780432532272,0.0,0.006978920373218067,0.4668495918159196,-0.5,-32.13840103149414,0.08603058486130569
71,0.006983244211460153,0.00012163582450130674,0.0,0.006983244211460153,0.46686058322956725,-0.5,-32.13899230957031,0.08602310594761255
72,0.006987131446401465,0.000109353694323821,0.0,0.006987131446401465,0.4668704090517611,-0.5,-32.1395149230957,0.08601638218753957
73,0.0069906261702680165,9.831175727941692e-05,0.0,0.0069906261702680165,0.4668792009391858,-0.5,-32.139991760253906,0.08601033734773345
74,0.006993768014148592,8.838459551374532e-05,0.0,0.006993768014148592,0.46688707500771337,-0.5,-32.140419006347656,0.08600490289804656
75,0.006996592602485506,7.945955361516028e-05,0.0,0.006996592602485506,0.4668941334329725,-0.5,-32.14080047607422,0.08600001722901132
76,0.006999131960491173,7.143541891877269e-05,0.0,0.006999131960491173,0.4669004660240707,-0.5,-32.141143798828125,0.08599562495006606
77,0.007001414879484961,6.422124188642463e-05,0.0,0.007001414879484961,0.4669061517141136,-0.5,-32.141456604003906,0.08599167625994197
78,0.007003467244615733,5.773528155936806e-05,0.0,0.007003467244615733,0.46691125993295673,-0.5,-32.1417350769043,0.0859881263815598
79,0.007005312328954501,5.190406251095314e-05,0.0,0.007005312328954501,0.4669158518442898,-0.5,-32.14198303222656,0.08598493505462669
80,0.007006971057507668,4.666153110486707e-05,0.0,0.007006971057507668,0.4669199814414141,-0.5,-32.142208099365234,0.08598206607987625
81,0.007008462244312393,4.194830016232044e-05,0.0,0.007008462244312393,0.4669236965046243,-0.5,-32.14241027832031,0.08597948690956238
82,0.007009802805428649,3.771097234181557e-05,0.0,0.007009802805428649,0.4669270394286929,-0.5,-32.14259338378906,0.08597716827940936
83,0.00701100795033418,3.390153362906412e-05,0.0,0.00701100795033418,0.46693004793225246,-0.5,-32.14275360107422,0.08597508387774466
84,0.007012091353955256,3.0476809320126284e-05,0.0,0.007012091353955256,0.46693275566242276,-0.5,-32.14290237426758,0.08597321004800242
